기준년(월),업종,비율
202508,K-라이프스타일푸드,44.69
202508,K-쇼핑,22.18
202508,K-한식,12.8
202508,K-패션,7.13
202508,K-뷰티웰니스,7.14
202508,K-문화체험,3.18
202508,K-나이트컬처,2.04
202508,K-스포츠,0.62
202508,K-공연,0.22
202509,K-라이프스타일푸드,46.37
202509,K-쇼핑,20.73
202509,K-한식,13.14
202509,K-패션,7.02
202509,K-뷰티웰니스,7.58
202509,K-문화체험,2.58
202509,K-나이트컬처,1.8
202509,K-스포츠,0.58
202509,K-공연,0.2
202510,K-라이프스타일푸드,46.07
202510,K-쇼핑,20.54
202510,K-한식,13.46
202510,K-패션,6.96
202510,K-뷰티웰니스,7.3
202510,K-문화체험,2.93
202510,K-나이트컬처,1.94
202510,K-스포츠,0.59
202510,K-공연,0.22
202511,K-라이프스타일푸드,44.64
202511,K-쇼핑,20.94
202511,K-한식,13.46
202511,K-패션,7.36
202511,K-뷰티웰니스,8.24
202511,K-문화체험,2.61
202511,K-나이트컬처,2.01
202511,K-스포츠,0.54
202511,K-공연,0.2
202512,K-라이프스타일푸드,43.12
202512,K-쇼핑,22.37
202512,K-한식,13.45
202512,K-패션,7.13
202512,K-뷰티웰니스,8.16
202512,K-문화체험,3.0
202512,K-나이트컬처,1.84
202512,K-스포츠,0.73
202512,K-공연,0.21
202601,K-라이프스타일푸드,43.22
202601,K-쇼핑,22.19
202601,K-한식,13.56
202601,K-패션,7.08
202601,K-뷰티웰니스,8.05
202601,K-문화체험,3.02
202601,K-나이트컬처,1.99
202601,K-스포츠,0.7
202601,K-공연,0.19
202602,K-라이프스타일푸드,43.7
202602,K-쇼핑,22.13
202602,K-한식,13.66
202602,K-패션,7.13
202602,K-뷰티웰니스,7.54
202602,K-문화체험,2.97
202602,K-나이트컬처,1.89
202602,K-스포츠,0.75
202602,K-공연,0.22
202603,K-라이프스타일푸드,45.45
202603,K-쇼핑,20.58
202603,K-한식,13.76
202603,K-패션,7.41
202603,K-뷰티웰니스,7.6
202603,K-문화체험,2.96
202603,K-나이트컬처,1.59
202603,K-스포츠,0.47
202603,K-공연,0.19
202604,K-라이프스타일푸드,45.89
202604,K-쇼핑,20.07
202604,K-한식,13.77
202604,K-패션,7.33
202604,K-뷰티웰니스,7.53
202604,K-문화체험,3.12
202604,K-나이트컬처,1.51
202604,K-스포츠,0.56
202604,K-공연,0.22
202605,K-라이프스타일푸드,45.28
202605,K-쇼핑,20.66
202605,K-한식,13.49
202605,K-패션,7.46
202605,K-뷰티웰니스,7.45
202605,K-문화체험,3.15
202605,K-나이트컬처,1.69
202605,K-스포츠,0.58
202605,K-공연,0.24
202606,K-라이프스타일푸드,44.72
202606,K-쇼핑,21.11
202606,K-한식,13.3
202606,K-패션,7.51
202606,K-뷰티웰니스,7.45
202606,K-문화체험,3.64
202606,K-나이트컬처,1.47
202606,K-스포츠,0.57
202606,K-공연,0.23
202607,K-라이프스타일푸드,44.06
202607,K-쇼핑,21.97
202607,K-한식,13.3
202607,K-패션,7.22
202607,K-뷰티웰니스,7.01
202607,K-문화체험,4.03
202607,K-나이트컬처,1.53
202607,K-스포츠,0.61
202607,K-공연,0.26
