기준년(월),업종,비율
202508,K-쇼핑,39.42
202508,K-뷰티웰니스,20.41
202508,K-패션,12.97
202508,K-라이프스타일푸드,12.83
202508,K-한식,10.57
202508,K-나이트컬처,1.97
202508,K-스포츠,0.87
202508,K-문화체험,0.78
202508,K-공연,0.2
202509,K-쇼핑,36.36
202509,K-뷰티웰니스,23.22
202509,K-패션,13.48
202509,K-라이프스타일푸드,13.01
202509,K-한식,10.35
202509,K-나이트컬처,1.95
202509,K-스포츠,0.83
202509,K-문화체험,0.63
202509,K-공연,0.18
202510,K-쇼핑,36.99
202510,K-뷰티웰니스,21.68
202510,K-패션,13.97
202510,K-라이프스타일푸드,13.06
202510,K-한식,10.64
202510,K-나이트컬처,1.88
202510,K-스포츠,0.89
202510,K-문화체험,0.72
202510,K-공연,0.17
202511,K-쇼핑,37.3
202511,K-뷰티웰니스,23.47
202511,K-패션,14.16
202511,K-라이프스타일푸드,11.93
202511,K-한식,9.78
202511,K-나이트컬처,1.89
202511,K-스포츠,0.68
202511,K-문화체험,0.61
202511,K-공연,0.18
202512,K-쇼핑,39.16
202512,K-뷰티웰니스,24.1
202512,K-패션,12.85
202512,K-라이프스타일푸드,11.09
202512,K-한식,9.67
202512,K-나이트컬처,1.69
202512,K-스포츠,0.65
202512,K-문화체험,0.63
202512,K-공연,0.17
202601,K-쇼핑,40.84
202601,K-뷰티웰니스,21.15
202601,K-패션,13.27
202601,K-라이프스타일푸드,11.46
202601,K-한식,9.85
202601,K-나이트컬처,1.95
202601,K-스포츠,0.71
202601,K-문화체험,0.59
202601,K-공연,0.17
202602,K-쇼핑,41.57
202602,K-뷰티웰니스,20.22
202602,K-패션,13.09
202602,K-라이프스타일푸드,11.56
202602,K-한식,10.23
202602,K-나이트컬처,1.69
202602,K-스포츠,0.79
202602,K-문화체험,0.62
202602,K-공연,0.22
202603,K-쇼핑,37.6
202603,K-뷰티웰니스,21.85
202603,K-패션,14.53
202603,K-라이프스타일푸드,12.42
202603,K-한식,10.4
202603,K-나이트컬처,1.64
202603,K-스포츠,0.75
202603,K-문화체험,0.65
202603,K-공연,0.15
202604,K-쇼핑,38.42
202604,K-뷰티웰니스,21.96
202604,K-패션,14.04
202604,K-라이프스타일푸드,12.22
202604,K-한식,10.23
202604,K-나이트컬처,1.55
202604,K-스포츠,0.72
202604,K-문화체험,0.7
202604,K-공연,0.17
202605,K-쇼핑,39.11
202605,K-뷰티웰니스,21.12
202605,K-패션,14.27
202605,K-라이프스타일푸드,11.94
202605,K-한식,10.32
202605,K-나이트컬처,1.58
202605,K-스포츠,0.82
202605,K-문화체험,0.68
202605,K-공연,0.17
202606,K-쇼핑,40.27
202606,K-뷰티웰니스,20.94
202606,K-패션,14.0
202606,K-라이프스타일푸드,11.42
202606,K-한식,10.16
202606,K-나이트컬처,1.45
202606,K-스포츠,0.84
202606,K-문화체험,0.77
202606,K-공연,0.16
202607,K-쇼핑,40.98
202607,K-뷰티웰니스,19.6
202607,K-패션,13.27
202607,K-라이프스타일푸드,11.78
202607,K-한식,10.88
202607,K-나이트컬처,1.5
202607,K-스포츠,0.92
202607,K-문화체험,0.89
202607,K-공연,0.19
