기준년(월),직접소비액,파생소비액,전체소비액
202508,1477133.0,7.49004909E8,7.50482042E8
202509,1486375.0,8.25884372E8,8.27370747E8
202510,1518446.0,8.9483837E8,8.96356816E8
202511,1719292.0,9.60321448E8,9.6204074E8
202512,1580003.0,9.50884577E8,9.5246458E8
202601,1181609.0,7.10768773E8,7.11950382E8
202602,1414134.0,6.43636736E8,6.4505087E8
202603,1665878.0,1.090055859E9,1.091721737E9
202604,2202397.0,1.326534211E9,1.328736608E9
202605,2385985.0,1.410666967E9,1.413052952E9
202606,2158910.0,1.390629827E9,1.392788737E9
202607,2438939.0,1.262759467E9,1.265198406E9
